user_id,age,interest_category
700373,24.0,Cultural Tours
941783,34.0,4WD & Off-Road
753727,55.0,Cruises & Water Tours
606212,47.0,Cruises & Water Tours
535322,60.0,4WD & Off-Road
761896,38.0,4WD & Off-Road
307668,59.0,Cultural Tours
129580,,
844851,32.0,4WD & Off-Road
499698,54.0,Nature & Wildlife
141889,24.0,
458177,31.0,4WD & Off-Road
909018,21.0,4WD & Off-Road
867703,41.0,Nature & Wildlife
644227,,
236033,54.0,Cultural Tours
986869,55.0,Wine Tasting
294752,19.0,
224843,40.0,Cultural Tours
503305,24.0,Hop-On Hop-Off Tours
224308,37.0,Nature & Wildlife
758732,63.0,Hop-On Hop-Off Tours
120798,33.0,Cultural Tours
285080,24.0,Nature & Wildlife
347035,52.0,Cruises & Water Tours
845955,,
585447,18.0,4WD & Off-Road
355224,42.0,Hop-On Hop-Off Tours
221341,32.0,Hop-On Hop-Off Tours
355145,61.0,Cultural Tours
857335,63.0,Nature & Wildlife
665982,,
441955,53.0,Hop-On Hop-Off Tours
869164,37.0,4WD & Off-Road
514596,58.0,Nature & Wildlife
577386,57.0,Nature & Wildlife
683052,33.0,4WD & Off-Road
127388,47.0,4WD & Off-Road
370664,25.0,4WD & Off-Road
953542,55.0,Nature & Wildlife
822726,30.0,4WD & Off-Road
257308,60.0,4WD & Off-Road
550992,63.0,4WD & Off-Road
385272,55.0,Nature & Wildlife
702641,49.0,Cultural Tours
376288,42.0,Cultural Tours
253854,23.0,Wine Tasting
705324,39.0,4WD & Off-Road
452285,,
344139,58.0,Cruises & Water Tours
977054,,
691449,50.0,4WD & Off-Road
708543,52.0,Cruises & Water Tours
690256,25.0,Cultural Tours
193354,43.0,Cultural Tours
510073,,
805018,38.0,Hop-On Hop-Off Tours
498832,53.0,Nature & Wildlife
357629,41.0,
531315,,
660032,18.0,4WD & Off-Road
579935,58.0,Cultural Tours
170619,27.0,4WD & Off-Road
662529,,
115464,29.0,4WD & Off-Road
608003,,
846540,24.0,Nature & Wildlife
221945,,
545751,23.0,4WD & Off-Road
708355,,
871542,60.0,4WD & Off-Road
673688,26.0,4WD & Off-Road
257079,25.0,
154326,31.0,Cultural Tours
396443,29.0,
528085,32.0,
851393,,
438086,36.0,4WD & Off-Road
631003,,
196662,,
126229,47.0,Wine Tasting
704881,62.0,4WD & Off-Road
551705,33.0,4WD & Off-Road
270238,46.0,
172642,43.0,Cultural Tours
492138,44.0,Hop-On Hop-Off Tours
687459,39.0,4WD & Off-Road
997558,,
737658,,
213044,,
957265,54.0,
449291,,
643684,23.0,4WD & Off-Road
526578,40.0,Cultural Tours
953094,,
131001,,
288287,54.0,Hop-On Hop-Off Tours
356495,59.0,Hop-On Hop-Off Tours
865381,51.0,
680072,32.0,Nature & Wildlife
856360,19.0,4WD & Off-Road
534864,58.0,Cultural Tours
768818,64.0,Cultural Tours
558255,49.0,
542748,59.0,Cruises & Water Tours
361410,23.0,4WD & Off-Road
610384,24.0,
635100,30.0,4WD & Off-Road
766862,24.0,4WD & Off-Road
328129,34.0,Nature & Wildlife
883171,53.0,Cruises & Water Tours
660277,59.0,Cultural Tours
261813,,
703936,51.0,
409778,,
235420,39.0,4WD & Off-Road
368071,61.0,Cultural Tours
231773,57.0,
700133,35.0,4WD & Off-Road
474761,,
251685,34.0,4WD & Off-Road
815809,26.0,4WD & Off-Road
603123,61.0,
593890,61.0,Cultural Tours
190024,32.0,Cultural Tours
915599,56.0,Nature & Wildlife
625221,41.0,Cruises & Water Tours
294202,56.0,4WD & Off-Road
849711,29.0,Cultural Tours
761730,58.0,Cruises & Water Tours
328368,18.0,4WD & Off-Road
679361,60.0,Cultural Tours
726732,47.0,
624597,24.0,
334598,50.0,Cultural Tours
239810,,
762756,33.0,
184580,19.0,4WD & Off-Road
102300,47.0,Nature & Wildlife
590819,56.0,4WD & Off-Road
900689,19.0,Nature & Wildlife
498549,46.0,Cultural Tours
802967,,
713313,50.0,Nature & Wildlife
381000,44.0,4WD & Off-Road
828017,,
812343,26.0,Cultural Tours
599361,39.0,Nature & Wildlife
809826,42.0,4WD & Off-Road
556305,20.0,4WD & Off-Road
313192,46.0,4WD & Off-Road
474721,,
790872,35.0,4WD & Off-Road
521925,63.0,Wine Tasting
978625,54.0,Hop-On Hop-Off Tours
490231,32.0,4WD & Off-Road
680682,33.0,Cultural Tours
281986,18.0,4WD & Off-Road
862606,,
278616,48.0,Hop-On Hop-Off Tours
233855,30.0,Nature & Wildlife
209664,54.0,Cultural Tours
293546,,
942933,50.0,4WD & Off-Road
606887,64.0,Cultural Tours
904243,31.0,Nature & Wildlife
159970,40.0,4WD & Off-Road
957850,,
715377,33.0,Nature & Wildlife
653358,37.0,Nature & Wildlife
917252,22.0,
581758,38.0,
169495,31.0,Nature & Wildlife
149243,50.0,Cruises & Water Tours
704052,43.0,Cruises & Water Tours
679992,,
191932,37.0,Wine Tasting
143345,35.0,
549192,56.0,4WD & Off-Road
951265,42.0,Cultural Tours
406125,28.0,4WD & Off-Road
921874,59.0,Nature & Wildlife
451621,58.0,Cruises & Water Tours
511405,62.0,Cruises & Water Tours
552098,19.0,4WD & Off-Road
164506,,
236387,43.0,Wine Tasting
331035,39.0,4WD & Off-Road
300576,31.0,Nature & Wildlife
892901,37.0,4WD & Off-Road
324852,58.0,Cultural Tours
239464,20.0,4WD & Off-Road
793578,52.0,
873979,,
883154,32.0,4WD & Off-Road
901171,56.0,Nature & Wildlife
904765,20.0,Wine Tasting
653513,37.0,4WD & Off-Road
382213,25.0,Nature & Wildlife
355725,18.0,4WD & Off-Road
878929,49.0,
142982,60.0,4WD & Off-Road
252679,25.0,Hop-On Hop-Off Tours
266265,,
925456,45.0,4WD & Off-Road
254062,23.0,4WD & Off-Road
820914,46.0,4WD & Off-Road
999813,35.0,4WD & Off-Road
854276,42.0,
745468,,
284869,,
539898,38.0,Hop-On Hop-Off Tours
223428,,
707171,42.0,Nature & Wildlife
817568,18.0,4WD & Off-Road
699054,31.0,Nature & Wildlife
975047,30.0,
507822,,
328981,37.0,Cultural Tours
576037,37.0,4WD & Off-Road
706095,,
971781,45.0,Cultural Tours
937819,34.0,4WD & Off-Road
494423,,
887591,18.0,Hop-On Hop-Off Tours
880442,56.0,Hop-On Hop-Off Tours
161961,38.0,4WD & Off-Road
482988,51.0,Cultural Tours
999082,26.0,Wine Tasting
245083,35.0,4WD & Off-Road
934236,34.0,Hop-On Hop-Off Tours
911259,19.0,4WD & Off-Road
262164,46.0,Cultural Tours
988857,53.0,Cruises & Water Tours
905468,30.0,4WD & Off-Road
487081,,
371676,46.0,Cruises & Water Tours
548920,28.0,
868165,56.0,Cultural Tours
179774,,
354800,,
822361,,
920878,52.0,Cultural Tours
527169,32.0,4WD & Off-Road
517012,51.0,Cultural Tours
279942,29.0,4WD & Off-Road
440309,40.0,
437084,24.0,Hop-On Hop-Off Tours
961467,29.0,4WD & Off-Road
708729,49.0,Nature & Wildlife
230482,,
190120,22.0,4WD & Off-Road
590793,61.0,4WD & Off-Road
489718,49.0,Cruises & Water Tours
510347,61.0,4WD & Off-Road
799355,,
257879,48.0,Nature & Wildlife
607256,,
737853,19.0,Wine Tasting
413657,21.0,4WD & Off-Road
714105,,
229484,47.0,
530285,21.0,4WD & Off-Road
112025,31.0,Hop-On Hop-Off Tours
262203,31.0,4WD & Off-Road
852646,44.0,4WD & Off-Road
796655,62.0,Cultural Tours
727138,25.0,Cultural Tours
364504,64.0,Hop-On Hop-Off Tours
160836,55.0,4WD & Off-Road
297193,37.0,4WD & Off-Road
915428,42.0,Cruises & Water Tours
914488,40.0,Cruises & Water Tours
764549,62.0,4WD & Off-Road
257288,31.0,Cultural Tours
897329,37.0,4WD & Off-Road
822717,37.0,Nature & Wildlife
690902,49.0,Cultural Tours
567451,34.0,
372236,35.0,4WD & Off-Road
899201,26.0,Cultural Tours
796935,38.0,4WD & Off-Road
834903,40.0,Cultural Tours
499578,19.0,4WD & Off-Road
204525,35.0,
336155,37.0,Nature & Wildlife
350349,44.0,4WD & Off-Road
853583,18.0,Wine Tasting
364252,53.0,Nature & Wildlife
345823,22.0,Hop-On Hop-Off Tours
730448,29.0,4WD & Off-Road
347753,,
392655,37.0,Cultural Tours
745385,,
216491,,
101020,36.0,4WD & Off-Road
534814,37.0,Wine Tasting
577652,51.0,Cultural Tours
420162,24.0,Wine Tasting
204478,55.0,Cultural Tours
497893,27.0,4WD & Off-Road
271660,36.0,Cultural Tours
530860,24.0,Cultural Tours
228478,51.0,4WD & Off-Road
203976,34.0,Wine Tasting
391464,52.0,Cruises & Water Tours
749757,,
986138,,
160531,44.0,
535809,59.0,Hop-On Hop-Off Tours
696405,26.0,4WD & Off-Road
148646,40.0,Hop-On Hop-Off Tours
352408,46.0,Nature & Wildlife
124100,27.0,Wine Tasting
987623,33.0,Nature & Wildlife
133538,44.0,Nature & Wildlife
622219,61.0,Wine Tasting
660393,45.0,Cultural Tours
987520,54.0,Hop-On Hop-Off Tours
723993,20.0,Wine Tasting
817539,,
926129,58.0,Nature & Wildlife
619783,61.0,Cruises & Water Tours
189383,,
280022,62.0,Cultural Tours
345228,,
315911,31.0,4WD & Off-Road
424112,,
505815,,
374255,32.0,
243922,47.0,Cultural Tours
350515,,
824647,42.0,4WD & Off-Road
665986,60.0,Nature & Wildlife
564920,39.0,4WD & Off-Road
766259,22.0,4WD & Off-Road
846696,54.0,Hop-On Hop-Off Tours
270103,19.0,Cultural Tours
231630,41.0,Cultural Tours
825496,64.0,Cruises & Water Tours
897583,31.0,
186601,55.0,Cruises & Water Tours
468859,43.0,4WD & Off-Road
940017,46.0,Hop-On Hop-Off Tours
414665,62.0,4WD & Off-Road
490415,56.0,Wine Tasting
469009,19.0,4WD & Off-Road
221400,24.0,4WD & Off-Road
636575,26.0,4WD & Off-Road
933834,62.0,Hop-On Hop-Off Tours
581782,19.0,4WD & Off-Road
350874,45.0,Nature & Wildlife
861617,24.0,4WD & Off-Road
101487,,
848567,32.0,4WD & Off-Road
916416,51.0,Nature & Wildlife
493823,53.0,Hop-On Hop-Off Tours
488994,31.0,Nature & Wildlife
860849,,
921004,24.0,
170799,,
591993,64.0,4WD & Off-Road
211289,33.0,4WD & Off-Road
832932,61.0,Cruises & Water Tours
796214,,
270419,24.0,4WD & Off-Road
109755,34.0,Nature & Wildlife
669087,37.0,4WD & Off-Road
808540,33.0,
171011,36.0,4WD & Off-Road
178085,26.0,4WD & Off-Road
454127,53.0,Nature & Wildlife
207034,,
104084,50.0,4WD & Off-Road
659108,,
974178,18.0,Hop-On Hop-Off Tours
574205,42.0,Wine Tasting
675029,,
999828,21.0,4WD & Off-Road
156762,38.0,4WD & Off-Road
480324,33.0,Cultural Tours
496417,53.0,Nature & Wildlife
409274,19.0,4WD & Off-Road
884899,61.0,4WD & Off-Road
418576,26.0,Cultural Tours
191840,60.0,Cultural Tours
380482,33.0,
641069,47.0,Cultural Tours
714805,50.0,4WD & Off-Road
446015,48.0,
899310,30.0,Hop-On Hop-Off Tours
220573,34.0,Hop-On Hop-Off Tours
991532,38.0,4WD & Off-Road
243708,23.0,Wine Tasting
677860,62.0,Nature & Wildlife
797947,60.0,Nature & Wildlife
396449,,
710606,42.0,4WD & Off-Road
778032,29.0,4WD & Off-Road
415706,44.0,
426979,47.0,
472480,27.0,Cultural Tours
734458,,
755686,,
977965,42.0,4WD & Off-Road
265717,55.0,Nature & Wildlife
624074,53.0,Nature & Wildlife
505776,,
100183,39.0,Hop-On Hop-Off Tours
170881,32.0,Hop-On Hop-Off Tours
167329,,
931473,27.0,4WD & Off-Road
407972,45.0,
499568,,
985973,31.0,4WD & Off-Road
803785,47.0,4WD & Off-Road
580472,56.0,Nature & Wildlife
131854,28.0,
618320,31.0,4WD & Off-Road
125162,20.0,Nature & Wildlife
542819,45.0,4WD & Off-Road
493700,,
616206,36.0,
734934,57.0,Cruises & Water Tours
511444,62.0,4WD & Off-Road
730671,57.0,Nature & Wildlife
152210,47.0,Hop-On Hop-Off Tours
216480,56.0,Cruises & Water Tours
289040,42.0,Hop-On Hop-Off Tours
708763,31.0,Cultural Tours
359412,19.0,4WD & Off-Road
856604,44.0,4WD & Off-Road
311011,31.0,4WD & Off-Road
329731,45.0,Wine Tasting
809177,62.0,
706410,,
841416,24.0,4WD & Off-Road
970523,61.0,
781174,20.0,4WD & Off-Road
423520,25.0,4WD & Off-Road
318302,33.0,Nature & Wildlife
266961,46.0,Cruises & Water Tours
547395,,
803080,60.0,Cultural Tours
142126,34.0,4WD & Off-Road
354093,61.0,Cruises & Water Tours
502143,32.0,Nature & Wildlife
466890,,
385189,49.0,Nature & Wildlife
279215,20.0,Hop-On Hop-Off Tours
118747,27.0,4WD & Off-Road
820192,37.0,Hop-On Hop-Off Tours
626775,33.0,
787608,57.0,Cultural Tours
699901,21.0,
476679,46.0,Hop-On Hop-Off Tours
721183,51.0,
835185,27.0,4WD & Off-Road
182937,26.0,
112553,,
600750,35.0,4WD & Off-Road
235508,,
525796,45.0,Cruises & Water Tours
602360,42.0,
403705,46.0,
547668,21.0,Nature & Wildlife
285057,32.0,Hop-On Hop-Off Tours
164973,33.0,4WD & Off-Road
609152,19.0,Nature & Wildlife
214399,62.0,Cultural Tours
101423,26.0,Cultural Tours
137288,25.0,Nature & Wildlife
533368,55.0,Nature & Wildlife
281870,,
409453,58.0,4WD & Off-Road
412555,61.0,
758946,51.0,Nature & Wildlife
997737,19.0,
451770,61.0,Cruises & Water Tours
823698,18.0,Wine Tasting
777359,24.0,4WD & Off-Road
762878,26.0,Wine Tasting
155654,,
541743,39.0,4WD & Off-Road
350337,46.0,4WD & Off-Road
309742,,
630780,25.0,4WD & Off-Road
897884,48.0,4WD & Off-Road
253414,50.0,Wine Tasting
144526,,
703737,,
840916,45.0,Nature & Wildlife
722546,40.0,Wine Tasting
260530,36.0,4WD & Off-Road
976299,57.0,Wine Tasting
998600,45.0,
828493,59.0,Nature & Wildlife
173309,21.0,4WD & Off-Road
460027,50.0,Nature & Wildlife
911548,,
631942,41.0,Cruises & Water Tours
874960,27.0,
148212,20.0,4WD & Off-Road
121915,28.0,Hop-On Hop-Off Tours
353212,39.0,4WD & Off-Road
300803,,
709385,47.0,Hop-On Hop-Off Tours
783068,33.0,Wine Tasting
255843,41.0,Wine Tasting
446937,,
767952,32.0,Wine Tasting
463533,,
621336,64.0,Cruises & Water Tours
964740,56.0,Cultural Tours
121661,31.0,4WD & Off-Road
361763,,
259031,64.0,Cruises & Water Tours
483070,20.0,4WD & Off-Road
905400,,
775488,,
408374,41.0,4WD & Off-Road
601206,38.0,Hop-On Hop-Off Tours
714035,58.0,4WD & Off-Road
444070,21.0,4WD & Off-Road
956627,45.0,Wine Tasting
794233,34.0,Wine Tasting
746810,59.0,Cruises & Water Tours
647410,42.0,4WD & Off-Road
725621,,
810261,18.0,
547027,44.0,4WD & Off-Road
113824,40.0,Cruises & Water Tours
351561,39.0,Nature & Wildlife
740672,60.0,Wine Tasting
232846,48.0,Cultural Tours
488500,29.0,Nature & Wildlife
616044,60.0,Cruises & Water Tours
188234,,
231033,22.0,4WD & Off-Road
144136,27.0,4WD & Off-Road
176871,24.0,Cultural Tours
726790,32.0,4WD & Off-Road
999125,57.0,Cultural Tours
461800,56.0,4WD & Off-Road
489963,30.0,
271457,26.0,Wine Tasting
493729,20.0,Hop-On Hop-Off Tours
855705,49.0,4WD & Off-Road
312244,,
842143,21.0,4WD & Off-Road
589926,,
222992,33.0,Hop-On Hop-Off Tours
828353,25.0,Hop-On Hop-Off Tours
482293,20.0,Nature & Wildlife
863661,,
251707,32.0,4WD & Off-Road
508506,38.0,Nature & Wildlife
463190,,
870717,50.0,Cruises & Water Tours
866255,55.0,Nature & Wildlife
341854,,
283662,39.0,4WD & Off-Road
316475,31.0,4WD & Off-Road
624945,62.0,Wine Tasting
312172,49.0,
137404,33.0,Cultural Tours
884912,52.0,Cultural Tours
287166,43.0,Nature & Wildlife
627494,,
140271,,
768998,19.0,4WD & Off-Road
656543,,
249319,32.0,4WD & Off-Road
690787,27.0,4WD & Off-Road
513301,,
973578,32.0,Nature & Wildlife
505372,40.0,Nature & Wildlife
204503,52.0,Nature & Wildlife
503415,24.0,
311474,,
940267,35.0,Nature & Wildlife
527450,57.0,Hop-On Hop-Off Tours
310612,,
953313,46.0,Cruises & Water Tours
752843,63.0,Wine Tasting
151914,,
291778,58.0,Hop-On Hop-Off Tours
219989,48.0,Nature & Wildlife
916219,53.0,Cultural Tours
131808,20.0,4WD & Off-Road
324634,,
585564,53.0,Cultural Tours
140316,63.0,Cultural Tours
622359,,
399696,52.0,4WD & Off-Road
824255,41.0,Nature & Wildlife
849090,27.0,4WD & Off-Road
204329,40.0,Wine Tasting
655762,,
372999,32.0,4WD & Off-Road
299326,49.0,Cruises & Water Tours
294592,,
295142,,
643278,,
567998,,
623156,36.0,4WD & Off-Road
191341,63.0,Cultural Tours
812215,41.0,Cultural Tours
602380,49.0,4WD & Off-Road
452425,31.0,
942412,,
120103,41.0,Nature & Wildlife
452549,59.0,Hop-On Hop-Off Tours
436811,23.0,4WD & Off-Road
546945,21.0,4WD & Off-Road
807346,,
425200,,
484432,21.0,Cultural Tours
936644,,
517221,59.0,Cultural Tours
882529,62.0,Cruises & Water Tours
235881,25.0,4WD & Off-Road
169718,59.0,4WD & Off-Road
946523,64.0,Nature & Wildlife
663204,,
928477,53.0,4WD & Off-Road
257289,51.0,Cultural Tours
114416,54.0,Nature & Wildlife
318458,,
375154,47.0,Nature & Wildlife
997275,38.0,Nature & Wildlife
422029,51.0,Wine Tasting
146701,45.0,
582805,21.0,
806315,32.0,Cultural Tours
104705,,
740861,56.0,4WD & Off-Road
700627,40.0,4WD & Off-Road
418892,41.0,Wine Tasting
951492,52.0,Nature & Wildlife
876649,32.0,4WD & Off-Road
733263,52.0,4WD & Off-Road
486271,21.0,Cultural Tours
929963,,
933439,29.0,4WD & Off-Road
475619,30.0,4WD & Off-Road
396620,23.0,4WD & Off-Road
693902,29.0,
295545,59.0,Hop-On Hop-Off Tours
284181,55.0,Hop-On Hop-Off Tours
774800,57.0,
885436,43.0,Cruises & Water Tours
875035,,
295540,33.0,4WD & Off-Road
503588,,
989189,32.0,Cultural Tours
189925,53.0,Cruises & Water Tours
786056,29.0,Cultural Tours
753563,56.0,Hop-On Hop-Off Tours
379235,,
842074,,
431554,44.0,4WD & Off-Road
